academic_year,sending_institution,receiving_institution,major,group,section,receiving_type,receiving_requirement,sending_courses,sending_course_options,fulfillment_options,no_articulation_reason,denied_courses,template_cell_id
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Communication Design B.S., Visual Design Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""60359413-b003-45d6-cbcb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,CST 201 - Media Tools I,(ARTG 10 - Introduction to Computers for Graphic Arts AND ARTG 11 - Introduction to Photoshop) OR (ARTB 2 - Visual Fundamentals: Two-Dimensional Design),"['ARTG 10 - Introduction to Computers for Graphic Arts AND ARTG 11 - Introduction to Photoshop', 'ARTB 2 - Visual Fundamentals: Two-Dimensional Design']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTG 10 - Introduction to Computers for Graphic Arts', 'ARTG 11 - Introduction to Photoshop']}], 'courses': ['ARTG 10 - Introduction to Computers for Graphic Arts', 'ARTG 11 - Introduction to Photoshop'], 'must_take_together': True}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTB 2 - Visual Fundamentals: Two-Dimensional Design']}], 'courses': ['ARTB 2 - Visual Fundamentals: Two-Dimensional Design'], 'must_take_together': False}]",,[],b6fc4ee9-c0fa-417e-d149-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Communication Design B.S., Visual Design Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""60359413-b003-45d6-cbcb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,CST 227 - Design Fundamentals,(ARTG 15 - Graphic Design: Images and Type) OR (ARTS 9A - Creative Digital Media I),"['ARTG 15 - Graphic Design: Images and Type', 'ARTS 9A - Creative Digital Media I']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTG 15 - Graphic Design: Images and Type']}], 'courses': ['ARTG 15 - Graphic Design: Images and Type'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 9A - Creative Digital Media I']}], 'courses': ['ARTS 9A - Creative Digital Media I'], 'must_take_together': False}]",,[],8582054a-5175-48d6-d14a-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Communication Design B.S., Visual Design Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""60359413-b003-45d6-cbcb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,CST 251 - Web Tools,No articulation (No Course Articulated),[],[],No Course Articulated,[],1c8b54a6-9ba8-45b5-d14b-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Communication Design B.S., Visual Design Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""60359413-b003-45d6-cbcb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"CST 202, CST 202L",ARTS 10A - Drawing and Composition I,['ARTS 10A - Drawing and Composition I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 10A - Drawing and Composition I']}], 'courses': ['ARTS 10A - Drawing and Composition I'], 'must_take_together': False}]",,[],3f43c7fb-d072-49f0-d14d-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 130 - Precalculus,MATH 13 - Pre-Calculus,['MATH 13 - Pre-Calculus'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 13 - Pre-Calculus']}], 'courses': ['MATH 13 - Pre-Calculus'], 'must_take_together': False}]",,[],35bdc23b-75aa-4dd8-d1d6-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 150 - Calculus I,MATH 20A - Calculus with Analytic Geometry I,['MATH 20A - Calculus with Analytic Geometry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20A - Calculus with Analytic Geometry I']}], 'courses': ['MATH 20A - Calculus with Analytic Geometry I'], 'must_take_together': False}]",,[],cf5e43bb-759b-44fb-d1d7-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 115 - Finite Mathematics,(MATH 17 - Finite Mathematics) OR (MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business),"['MATH 17 - Finite Mathematics', 'MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 17 - Finite Mathematics']}], 'courses': ['MATH 17 - Finite Mathematics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business']}], 'courses': ['MATH 18 - Calculus and Analytic Geometry for the Biological/Social Science/Business'], 'must_take_together': False}]",,[],20905516-db68-443d-d1d8-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 204 - Business Mathematics and Statistics,((STAT C1000 - Introduction to Statistics) OR (PSYC 19 - Introduction to Statistics for the Social Sciences)) OR (SOCI 19 - Introduction to Statistics for the Social Sciences),"['STAT C1000 - Introduction to Statistics', 'PSYC 19 - Introduction to Statistics for the Social Sciences', 'SOCI 19 - Introduction to Statistics for the Social Sciences']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['STAT C1000 - Introduction to Statistics']}], 'courses': ['STAT C1000 - Introduction to Statistics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}]",,[],5057d842-8682-45f5-d1d9-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,STAT 100 - Introduction to Statistics,((STAT C1000 - Introduction to Statistics) OR (PSYC 19 - Introduction to Statistics for the Social Sciences)) OR (SOCI 19 - Introduction to Statistics for the Social Sciences),"['STAT C1000 - Introduction to Statistics', 'PSYC 19 - Introduction to Statistics for the Social Sciences', 'SOCI 19 - Introduction to Statistics for the Social Sciences']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['STAT C1000 - Introduction to Statistics']}], 'courses': ['STAT C1000 - Introduction to Statistics'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['PSYC 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences']}], 'courses': ['SOCI 19 - Introduction to Statistics for the Social Sciences'], 'must_take_together': False}]",,[],aa853bda-1f2b-4b01-d1da-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 200 - Personal & Professional Responsibility,BUSI 1 - Introduction to Business,['BUSI 1 - Introduction to Business'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BUSI 1 - Introduction to Business']}], 'courses': ['BUSI 1 - Introduction to Business'], 'must_take_together': False}]",,[],c9b83371-0970-438a-d1db-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 201 - Macro Economics,ECON 2 - Principles of Economics: Macro,['ECON 2 - Principles of Economics: Macro'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECON 2 - Principles of Economics: Macro']}], 'courses': ['ECON 2 - Principles of Economics: Macro'], 'must_take_together': False}]",,[],f87f8a51-52d8-4860-d1dc-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 202 - Micro Economics,ECON 4 - Principles of Economics: Micro,['ECON 4 - Principles of Economics: Micro'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECON 4 - Principles of Economics: Micro']}], 'courses': ['ECON 4 - Principles of Economics: Micro'], 'must_take_together': False}]",,[],938feabe-f1f0-4502-d1dd-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 203 - Financial Accounting,BUSI 3A - Financial Accounting,['BUSI 3A - Financial Accounting'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BUSI 3A - Financial Accounting']}], 'courses': ['BUSI 3A - Financial Accounting'], 'must_take_together': False}]",,[],aed40fe6-b093-42fb-d1de-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 205 - Managerial Accounting,BUSI 3B - Managerial Accounting,['BUSI 3B - Managerial Accounting'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BUSI 3B - Managerial Accounting']}], 'courses': ['BUSI 3B - Managerial Accounting'], 'must_take_together': False}]",,[],a46b8add-ee42-43a6-d1df-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Business Administration B.S., Financial Planning Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""7e1efe88-4cd1-4a5b-cbdb-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BUS 206 - Business Law,BUSI 4 - Business Law,['BUSI 4 - Business Law'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BUSI 4 - Business Law']}], 'courses': ['BUSI 4 - Business Law'], 'must_take_together': False}]",,[],d09ed5c0-17f5-41fa-d1e0-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Mathematics B.S., Pure & Applied Mathematics Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""420aa1cc-266e-49fd-cbdc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 250 - Multivariate Calculus,MATH 20C - Calculus of Several Variables,['MATH 20C - Calculus of Several Variables'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20C - Calculus of Several Variables']}], 'courses': ['MATH 20C - Calculus of Several Variables'], 'must_take_together': False}]",,[],4d84121f-caa9-4d1b-d1e1-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Mathematics B.S., Pure & Applied Mathematics Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""420aa1cc-266e-49fd-cbdc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 150 - Calculus I,MATH 20A - Calculus with Analytic Geometry I,['MATH 20A - Calculus with Analytic Geometry I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20A - Calculus with Analytic Geometry I']}], 'courses': ['MATH 20A - Calculus with Analytic Geometry I'], 'must_take_together': False}]",,[],2a933016-6f55-43b6-d1e2-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Mathematics B.S., Pure & Applied Mathematics Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""420aa1cc-266e-49fd-cbdc-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 151 - Calculus II,MATH 20B - Calculus with Analytic Geometry II,['MATH 20B - Calculus with Analytic Geometry II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 20B - Calculus with Analytic Geometry II']}], 'courses': ['MATH 20B - Calculus with Analytic Geometry II'], 'must_take_together': False}]",,[],b3a07015-67d5-4b99-d1e4-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Mathematics B.S., Pure & Applied Mathematics Concentration","{""type"": ""Conjunction"", ""conjunction"": ""Or"", ""id"": ""dd128f47-c455-427e-cbdd-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 230 - Elementary Linear Algebra,MATH 31 - Linear Algebra,['MATH 31 - Linear Algebra'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 31 - Linear Algebra']}], 'courses': ['MATH 31 - Linear Algebra'], 'must_take_together': False}]",,[],066cf28c-7bdb-488c-d1e5-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Mathematics B.S., Pure & Applied Mathematics Concentration","{""type"": ""Conjunction"", ""conjunction"": ""Or"", ""id"": ""dd128f47-c455-427e-cbdd-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 240 - Elementary Differential Equations,MATH 32 - Differential Equations,['MATH 32 - Differential Equations'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 32 - Differential Equations']}], 'courses': ['MATH 32 - Differential Equations'], 'must_take_together': False}]",,[],88f60cb6-f3c3-4b54-d1e6-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Mathematics B.S., Pure & Applied Mathematics Concentration","{""type"": ""Conjunction"", ""conjunction"": ""Or"", ""id"": ""dd128f47-c455-427e-cbdd-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 265 - Differential Equations and Linear Algebra,MATH 32 - Differential Equations AND MATH 31 - Linear Algebra,['MATH 32 - Differential Equations AND MATH 31 - Linear Algebra'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 32 - Differential Equations', 'MATH 31 - Linear Algebra']}], 'courses': ['MATH 32 - Differential Equations', 'MATH 31 - Linear Algebra'], 'must_take_together': True}]",,[],4cf90ac0-d267-4464-d1e7-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Mathematics B.S., Pure & Applied Mathematics Concentration",,,Course,CST 231 - Problem Solving and Programming,((CSCI 10A - Programming Methods I: JAVA) OR (CSCI 10C - Programming Methods 1.5 - C and C++)) OR (CSCI 9 - Programming Fundamentals: Python),"['CSCI 10A - Programming Methods I: JAVA', 'CSCI 10C - Programming Methods 1.5 - C and C++', 'CSCI 9 - Programming Fundamentals: Python']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 10A - Programming Methods I: JAVA']}], 'courses': ['CSCI 10A - Programming Methods I: JAVA'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 10C - Programming Methods 1.5 - C and C++']}], 'courses': ['CSCI 10C - Programming Methods 1.5 - C and C++'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['CSCI 9 - Programming Fundamentals: Python']}], 'courses': ['CSCI 9 - Programming Fundamentals: Python'], 'must_take_together': False}]",,[],1decaced-1e91-4ecd-5c80-08dde399765c
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Visual and Public Art B.A.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ba4d906a-32f2-4355-cbd3-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,VPA 290 - Introduction to Printmaking,ARTS 60 - Introduction to Printmaking,['ARTS 60 - Introduction to Printmaking'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 60 - Introduction to Printmaking']}], 'courses': ['ARTS 60 - Introduction to Printmaking'], 'must_take_together': False}]",,[],4b7fab48-f495-4ffe-d188-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Visual and Public Art B.A.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ba4d906a-32f2-4355-cbd3-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,VPA 217 - Color Theory,ARTB 4 - Color Fundamentals,['ARTB 4 - Color Fundamentals'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTB 4 - Color Fundamentals']}], 'courses': ['ARTB 4 - Color Fundamentals'], 'must_take_together': False}]",,[],00668451-c007-4a8c-d189-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Visual and Public Art B.A.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ba4d906a-32f2-4355-cbd3-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,VPA 218 - Intro to Painting,ARTS 40A - Painting I,['ARTS 40A - Painting I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 40A - Painting I']}], 'courses': ['ARTS 40A - Painting I'], 'must_take_together': False}]",,[],51faa26a-7e55-4062-d18a-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Visual and Public Art B.A.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ba4d906a-32f2-4355-cbd3-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,VPA 215 - Beginning Drawing,ARTS 10A - Drawing and Composition I,['ARTS 10A - Drawing and Composition I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 10A - Drawing and Composition I']}], 'courses': ['ARTS 10A - Drawing and Composition I'], 'must_take_together': False}]",,[],f5a92d04-3174-49c3-d18c-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",Visual and Public Art B.A.,"{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""ba4d906a-32f2-4355-cbd3-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,VPA 205 - Introduction to Art Appreciation,(ARTH 1 - Understanding Art) OR (ARTH 4 - Western Art II),"['ARTH 1 - Understanding Art', 'ARTH 4 - Western Art II']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTH 1 - Understanding Art']}], 'courses': ['ARTH 1 - Understanding Art'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTH 4 - Western Art II']}], 'courses': ['ARTH 4 - Western Art II'], 'must_take_together': False}]",,[],e72b3f51-0f57-447b-d18d-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,LS 242S - Service Learning in Public Schools,EDUC 1L - Education Service Learning Lab AND EDUC 1 - Introduction to Teaching and Education,['EDUC 1L - Education Service Learning Lab AND EDUC 1 - Introduction to Teaching and Education'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['EDUC 1L - Education Service Learning Lab', 'EDUC 1 - Introduction to Teaching and Education']}], 'courses': ['EDUC 1L - Education Service Learning Lab', 'EDUC 1 - Introduction to Teaching and Education'], 'must_take_together': True}]",,[],ca319d70-7771-4ba5-d05b-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,GS 214 - Global History I: to 1500,HIST 7 - World History 1500,['HIST 7 - World History 1500'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 7 - World History 1500']}], 'courses': ['HIST 7 - World History 1500'], 'must_take_together': False}]",,[],4cc0a43d-87aa-4f86-d05c-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,HCOM 251 - Introduction to US History,HIST 17 - United States History to 1877,['HIST 17 - United States History to 1877'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 17 - United States History to 1877']}], 'courses': ['HIST 17 - United States History to 1877'], 'must_take_together': False}]",,[],15ff1d4e-7e03-4c84-d05e-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,SSCI 111 - United States History to 1890,HIST 17 - United States History to 1877,['HIST 17 - United States History to 1877'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 17 - United States History to 1877']}], 'courses': ['HIST 17 - United States History to 1877'], 'must_take_together': False}]",,[],8ac0be43-db73-4714-d060-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,BIO 204 - Introduction to Life Sciences,BIOL 10 - Principles of Biology,['BIOL 10 - Principles of Biology'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BIOL 10 - Principles of Biology']}], 'courses': ['BIOL 10 - Principles of Biology'], 'must_take_together': False}]",,[],4ec15ebe-047c-4be6-d065-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,GEOL 210 - Earth Science for Teachers,GEOL 12 - Earth Ocean Climate: Introduction to Earth Science AND GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab,['GEOL 12 - Earth Ocean Climate: Introduction to Earth Science AND GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['GEOL 12 - Earth Ocean Climate: Introduction to Earth Science', 'GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab']}], 'courses': ['GEOL 12 - Earth Ocean Climate: Introduction to Earth Science', 'GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab'], 'must_take_together': True}]",,[],08fced58-c918-48e3-d067-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,MATH 100 - Quantitative Literacy,MATH 12 - Number Systems,['MATH 12 - Number Systems'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['MATH 12 - Number Systems']}], 'courses': ['MATH 12 - Number Systems'], 'must_take_together': False}]",,[],8b607f56-e047-41f2-d069-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,HDFS 200 - Intro to Child Development,ECED 1 - Child Growth and Development,['ECED 1 - Child Growth and Development'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECED 1 - Child Growth and Development']}], 'courses': ['ECED 1 - Child Growth and Development'], 'must_take_together': False}]",,[],eb9db853-9355-447a-da6f-08dd88146341
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,LS 233 - Arts in the School and Community,ARTB 10 - Survey of the Arts,['ARTB 10 - Survey of the Arts'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTB 10 - Survey of the Arts']}], 'courses': ['ARTB 10 - Survey of the Arts'], 'must_take_together': False}]",,[],dc7a3a6d-80b8-40a9-da70-08dd88146341
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""27751064-967b-4424-cbb4-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Series,"PHYS 121, PHYS 121L",PHYS 12 - Integrated Physics and Chemistry,['PHYS 12 - Integrated Physics and Chemistry'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHYS 12 - Integrated Physics and Chemistry']}], 'courses': ['PHYS 12 - Integrated Physics and Chemistry'], 'must_take_together': False}]",,[],40549fc5-70a4-4dd6-d063-08dd6d829ad0
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","Liberal Studies B.A. + Credential, Integrated Bilingual Elementary Education Concentration","{""type"": ""Conjunction"", ""conjunction"": ""And"", ""id"": ""4eafbe8d-adff-48a0-cbb5-08dd6d829ac2"", ""selectionType"": ""Complete""}",,Course,LS 242S - Service Learning in Public Schools,EDUC 1L - Education Service Learning Lab AND EDUC 1 - Introduction to Teaching and Education,['EDUC 1L - Education Service Learning Lab AND EDUC 1 - Introduction to Teaching and Education'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['EDUC 1L - Education Service Learning Lab', 'EDUC 1 - Introduction to Teaching and Education']}], 'courses': ['EDUC 1L - Education Service Learning Lab', 'EDUC 1 - Introduction to Teaching and Education'], 'must_take_together': True}]",,[],acb8d670-230d-4aa5-d070-08dd6d829ad0
