academic_year,sending_institution,receiving_institution,major,group,section,category,receiving_type,receiving_requirement,sending_courses,sending_course_options,fulfillment_options,no_articulation_reason,denied_courses,template_cell_id
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Course,CST 251 - Web Tools,No articulation (No Course Articulated),[],[],No Course Articulated,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Course,CST 252 - Scripting for Multimedia,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Course,CST 263 - Introduction to Database Systems,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Course,CST 271 - Digital Culture,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Course,CST 273 - Cyberdemocracy,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Course,CST 274 - History Comm Tech/Politics/America,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Course,CST 286 - Physics of Computing,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",CST Computer Science and Communication Design,,,CST Computer Science and Communication Design,Series,"CST 202, CST 202L",ARTS 10A - Drawing and Composition I,['ARTS 10A - Drawing and Composition I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ARTS 10A - Drawing and Composition I']}], 'courses': ['ARTS 10A - Drawing and Composition I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ED Education,,,ED Education,Course,"ED 212S - Federal, State, and Local Governments and their Impact on Public Schooling",,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 110 - Introduction to Engineering and Design,ENGR 1A - Introduction to Engineering,['ENGR 1A - Introduction to Engineering'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGR 1A - Introduction to Engineering']}], 'courses': ['ENGR 1A - Introduction to Engineering'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 115 - Introduction to Machining and Fabrication,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 130 - Statics,ENGR 8 - Engineering Statics,['ENGR 8 - Engineering Statics'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGR 8 - Engineering Statics']}], 'courses': ['ENGR 8 - Engineering Statics'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 140 - Materials Science and Engineering,No articulation (No Course Articulated),[],[],No Course Articulated,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 140L - Materials Science Engr Lab,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 150 - Engineering Graphics,ENGR 2 - Engineering Design Graphics,['ENGR 2 - Engineering Design Graphics'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGR 2 - Engineering Design Graphics']}], 'courses': ['ENGR 2 - Engineering Design Graphics'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 240 - Strength of Materials,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 260 - Circuit Analysis,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Course,ENGR 260L - Circuit Analysis Lab,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Series,"ENGR 140, ENGR 140L",ENGR 4 - Engineering Materials,['ENGR 4 - Engineering Materials'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGR 4 - Engineering Materials']}], 'courses': ['ENGR 4 - Engineering Materials'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENGR Mechatronics Engineering,,,ENGR Mechatronics Engineering,Series,"ENGR 260, ENGR 260L",ENGR 12 - Engineering Circuits AND ENGR 12L - Engineering Circuits Laboratory,['ENGR 12 - Engineering Circuits AND ENGR 12L - Engineering Circuits Laboratory'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGR 12 - Engineering Circuits', 'ENGR 12L - Engineering Circuits Laboratory']}], 'courses': ['ENGR 12 - Engineering Circuits', 'ENGR 12L - Engineering Circuits Laboratory'], 'must_take_together': True}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENSTU Environmental Studies,,,ENSTU Environmental Studies,Course,ENSTU 111 - Intro Environmental Communication,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENSTU Environmental Studies,,,ENSTU Environmental Studies,Course,ENSTU 120 - Writing About the Environment,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENSTU Environmental Studies,,,ENSTU Environmental Studies,Course,"ENSTU 130 - Science, Media, & Society",,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ENSTU Environmental Studies,,,ENSTU Environmental Studies,Course,ENSTU 280 - Environmental Economics & Policy,ECON 4 - Principles of Economics: Micro,['ECON 4 - Principles of Economics: Micro'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECON 4 - Principles of Economics: Micro']}], 'courses': ['ECON 4 - Principles of Economics: Micro'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","ENVS Environmental Science, Technology and Policy",,,"ENVS Environmental Science, Technology and Policy",Course,ENVS 185 - Field Adventures Appl Environ Sci,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","ENVS Environmental Science, Technology and Policy",,,"ENVS Environmental Science, Technology and Policy",Course,ENVS 201 - Introduction to Environmental Science,BIOL 31 - Introduction to Environmental Science,['BIOL 31 - Introduction to Environmental Science'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['BIOL 31 - Introduction to Environmental Science']}], 'courses': ['BIOL 31 - Introduction to Environmental Science'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","ENVS Environmental Science, Technology and Policy",,,"ENVS Environmental Science, Technology and Policy",Course,ENVS 240 - Environmental Biology,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","ENVS Environmental Science, Technology and Policy",,,"ENVS Environmental Science, Technology and Policy",Course,ENVS 282 - Monterey Bay: A Case Study in Environmental Science & Policy,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay","ENVS Environmental Science, Technology and Policy",,,"ENVS Environmental Science, Technology and Policy",Course,ENVS 282L - Monterey Bay: Case Study Lab,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",FYS First Year Seminar,,,FYS First Year Seminar,Course,FYS 124 - Introduction to Environmental Science,No articulation (No Course Articulated),[],[],No Course Articulated,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",FYS First Year Seminar,,,FYS First Year Seminar,Course,FYS 191 - Comp Ethnic Experiences,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GEOL Geology,,,GEOL Geology,Course,GEOL 110 - Introduction to Earth Science,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GEOL Geology,,,GEOL Geology,Course,GEOL 210 - Earth Science for Teachers,GEOL 12 - Earth Ocean Climate: Introduction to Earth Science AND GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab,['GEOL 12 - Earth Ocean Climate: Introduction to Earth Science AND GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['GEOL 12 - Earth Ocean Climate: Introduction to Earth Science', 'GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab']}], 'courses': ['GEOL 12 - Earth Ocean Climate: Introduction to Earth Science', 'GEOL 12L - Earth Ocean Climate: Introduction to Earth Science Lab'], 'must_take_together': True}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GEOL Geology,,,GEOL Geology,Course,GEOL 260 - Geology/Hydrology,GEOL 2 - Physical Geology AND GEOL 2L - Physical Geology Laboratory,['GEOL 2 - Physical Geology AND GEOL 2L - Physical Geology Laboratory'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['GEOL 2 - Physical Geology', 'GEOL 2L - Physical Geology Laboratory']}], 'courses': ['GEOL 2 - Physical Geology', 'GEOL 2L - Physical Geology Laboratory'], 'must_take_together': True}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GS Global Studies,,,GS Global Studies,Course,GS 206 - Understanding Globalization,(GLST 1 - Introduction to Global Studies) OR (GLST 2 - Global Issues),"['GLST 1 - Introduction to Global Studies', 'GLST 2 - Global Issues']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['GLST 1 - Introduction to Global Studies']}], 'courses': ['GLST 1 - Introduction to Global Studies'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['GLST 2 - Global Issues']}], 'courses': ['GLST 2 - Global Issues'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GS Global Studies,,,GS Global Studies,Course,GS 214 - Global History I: to 1500,HIST 7 - World History 1500,['HIST 7 - World History 1500'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 7 - World History 1500']}], 'courses': ['HIST 7 - World History 1500'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GS Global Studies,,,GS Global Studies,Course,GS 215 - Global History II: since 1500,HIST 8 - World History Since 1500,['HIST 8 - World History Since 1500'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 8 - World History Since 1500']}], 'courses': ['HIST 8 - World History Since 1500'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GS Global Studies,,,GS Global Studies,Course,GS 225 - Global Voices,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GS Global Studies,,,GS Global Studies,Course,GS 230 - World Religions,PHIL 8 - Introduction to World Religions,['PHIL 8 - Introduction to World Religions'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHIL 8 - Introduction to World Religions']}], 'courses': ['PHIL 8 - Introduction to World Religions'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GS Global Studies,,,GS Global Studies,Course,GS 236 - Global Policing,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",GS Global Studies,,,GS Global Studies,Course,GS 251 - Intro to Global Economics,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 110 - Foundations Speaking & Llistening,((COMM C1000 - Introduction to Public Speaking) OR (SPCH 2 - Small Group Communication)) OR (SPCH 3 - Interpersonal Communication),"['COMM C1000 - Introduction to Public Speaking', 'SPCH 2 - Small Group Communication', 'SPCH 3 - Interpersonal Communication']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['COMM C1000 - Introduction to Public Speaking']}], 'courses': ['COMM C1000 - Introduction to Public Speaking'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPCH 2 - Small Group Communication']}], 'courses': ['SPCH 2 - Small Group Communication'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['SPCH 3 - Interpersonal Communication']}], 'courses': ['SPCH 3 - Interpersonal Communication'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 120 - Critical Reading & Writing,No articulation (No Course Articulated),[],[],No Course Articulated,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 125 - Writing & Reading for College Success,ENGL C1000 - Academic Reading and Writing,['ENGL C1000 - Academic Reading and Writing'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGL C1000 - Academic Reading and Writing']}], 'courses': ['ENGL C1000 - Academic Reading and Writing'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 170 - Intro to Mass Communication,COMM 5 - Mass Media Methods,['COMM 5 - Mass Media Methods'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['COMM 5 - Mass Media Methods']}], 'courses': ['COMM 5 - Mass Media Methods'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 200 - Critical Thinking & Ethics,((ENGL C1001 - Critical Thinking and Writing) OR (PHIL 6 - Introduction to Logic)) OR (PHIL 10 - Introduction to Critical Thinking),"['ENGL C1001 - Critical Thinking and Writing', 'PHIL 6 - Introduction to Logic', 'PHIL 10 - Introduction to Critical Thinking']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGL C1001 - Critical Thinking and Writing']}], 'courses': ['ENGL C1001 - Critical Thinking and Writing'], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHIL 6 - Introduction to Logic']}], 'courses': ['PHIL 6 - Introduction to Logic'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['PHIL 10 - Introduction to Critical Thinking']}], 'courses': ['PHIL 10 - Introduction to Critical Thinking'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 202 - Philosophy of Human Nature,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 220 - Afro-Cuba Hip Hop,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 222 - Intro to Literary Analysis,ENGL 1B - Introduction to Literature,['ENGL 1B - Introduction to Literature'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ENGL 1B - Introduction to Literature']}], 'courses': ['ENGL 1B - Introduction to Literature'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 224 - American Indigenous Literatures & Cultures,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,"HCOM 225 - Literature, Film, and Culture",,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 229 - Multicultural Poetry,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 230 - Environmental Creative Writing,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 231 - Latina/o Creative Writing Workshop,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 242 - Intro to Women's & Gender Studies,(((GWOS 1 - Introduction to Gender and Women's Studies) OR (SOCI 12 - Introduction to Gender and Sexuality)) OR (ANTH 30 - Gender in Global Perspective)) OR (GWOS 30 - Gender in Global Perspective),"[""GWOS 1 - Introduction to Gender and Women's Studies"", 'SOCI 12 - Introduction to Gender and Sexuality', 'ANTH 30 - Gender in Global Perspective', 'GWOS 30 - Gender in Global Perspective']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': [""GWOS 1 - Introduction to Gender and Women's Studies""]}], 'courses': [""GWOS 1 - Introduction to Gender and Women's Studies""], 'must_take_together': False}, {'option': 2, 'groups': [{'group_conjunction': 'AND', 'courses': ['SOCI 12 - Introduction to Gender and Sexuality']}], 'courses': ['SOCI 12 - Introduction to Gender and Sexuality'], 'must_take_together': False}, {'option': 3, 'groups': [{'group_conjunction': 'AND', 'courses': ['ANTH 30 - Gender in Global Perspective']}], 'courses': ['ANTH 30 - Gender in Global Perspective'], 'must_take_together': False}, {'option': 4, 'groups': [{'group_conjunction': 'AND', 'courses': ['GWOS 30 - Gender in Global Perspective']}], 'courses': ['GWOS 30 - Gender in Global Perspective'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 243 - Introduction to Ethnic Studies,No articulation (No Course Articulated),[],[],No Course Articulated,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 246 - Intro to Mexican American Studies,No articulation (No Course Articulated),[],[],No Course Articulated,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 247 - African Legacy Worldwide,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 251 - Introduction to US History,HIST 17 - United States History to 1877,['HIST 17 - United States History to 1877'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 17 - United States History to 1877']}], 'courses': ['HIST 17 - United States History to 1877'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 260S - Politics & Participation,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 265 - Histories of Democracy,HIST 18 - United States History from 1865,['HIST 18 - United States History from 1865'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HIST 18 - United States History from 1865']}], 'courses': ['HIST 18 - United States History from 1865'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,HCOM 280 - Intro to Reporting,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HCOM Humanities and Communication,,,HCOM Humanities and Communication,Course,"HCOM 290 - Tacos, Territories, & Transnationalism",,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HDFS Human Development and Family Science,,,HDFS Human Development and Family Science,Course,"HDFS 110 - Indentity, Relationships, & family",,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HDFS Human Development and Family Science,,,HDFS Human Development and Family Science,Course,HDFS 200 - Intro to Child Development,ECED 1 - Child Growth and Development,['ECED 1 - Child Growth and Development'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECED 1 - Child Growth and Development']}], 'courses': ['ECED 1 - Child Growth and Development'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HDFS Human Development and Family Science,,,HDFS Human Development and Family Science,Course,HDFS 222 - Peer Education for Young Adults,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HDFS Human Development and Family Science,,,HDFS Human Development and Family Science,Course,HDFS 225 - Peer Education for Young Adults Practicum,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HDFS Human Development and Family Science,,,HDFS Human Development and Family Science,Course,"HDFS 270 - Child, Family, & Community","ECED 55 - Child, Family, and Community","['ECED 55 - Child, Family, and Community']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['ECED 55 - Child, Family, and Community']}], 'courses': ['ECED 55 - Child, Family, and Community'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HOSP Hospitality,,,HOSP Hospitality,Course,HOSP 200 - Applications of Sustainable Hospitality,HOSP 51 - Introduction to the Hospitality Industry,['HOSP 51 - Introduction to the Hospitality Industry'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['HOSP 51 - Introduction to the Hospitality Industry']}], 'courses': ['HOSP 51 - Introduction to the Hospitality Industry'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",HOSP Hospitality,,,HOSP Hospitality,Course,HOSP 221 - Shifting Flavor Landscapes & Unseen/Hidden Populations,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ITAL Italian,,,ITAL Italian,Course,ITAL 101 - Beginning Italian I,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ITAL Italian,,,ITAL Italian,Course,ITAL 102 - Beginning Italian II,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",ITAL Italian,,,ITAL Italian,Course,ITAL 201 - Intermediate Italian I,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 101 - Beginning Japanese I,JPNS 1A - Elementary Japanese I,['JPNS 1A - Elementary Japanese I'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['JPNS 1A - Elementary Japanese I']}], 'courses': ['JPNS 1A - Elementary Japanese I'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 102 - Beginning Japanese II,JPNS 1B - Elementary Japanese II,['JPNS 1B - Elementary Japanese II'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['JPNS 1B - Elementary Japanese II']}], 'courses': ['JPNS 1B - Elementary Japanese II'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 185 - Beginning Interpersonal & Interpretive Communication I,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 186 - Beginning Interpersonal & Interpretive Communication II,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 201 - Intermediate Japanese I,JPNS 2A - Intermediate Japanese,['JPNS 2A - Intermediate Japanese'],"[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['JPNS 2A - Intermediate Japanese']}], 'courses': ['JPNS 2A - Intermediate Japanese'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 211 - Modern Japanese History,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 212 - Samurai Spirit,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,"JAPN 213 - Manga, Anime and Modern Japan",,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 215 - Cool Japan Today,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 285 - Intermed Interpersonal & Interpretive Communication III,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",JAPN Japanese,,,JAPN Japanese,Course,JAPN 286 - Intermed Interpersonal & Interpretive Communication IV,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 102 - Monterey Bay Adventure Sports,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 109 - Swimming Beginning,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 110 - Strength Training,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 111 - Swimming for Fitness,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 113 - Wake-Up Workouts,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 114 - Walking,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 115 - Intro to Exercise is Medicine,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 118 - Water Aerobics,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 120 - CPR/First Aid,"EMMS 5 - First Aid, CPR, and AED","['EMMS 5 - First Aid, CPR, and AED']","[{'option': 1, 'groups': [{'group_conjunction': 'AND', 'courses': ['EMMS 5 - First Aid, CPR, and AED']}], 'courses': ['EMMS 5 - First Aid, CPR, and AED'], 'must_take_together': False}]",,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 123 - Step Aerobics,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 125 - HIIT Cardio,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 131 - Beginning Tai Chi Chi Kung,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 134 - Self Defense,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 139 - Yoga,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 140 - Yoga II,,[],[],,[],
2025-2026,Monterey Peninsula College,"California State University, Monterey Bay",KIN Kinesiology,,,KIN Kinesiology,Course,KIN 141 - Disc Golf,,[],[],,[],
